neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,desc_word_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,log_price
Mission,37.74946,-122.41802,Entire home/apt,8,2,5.0,f,0,119,42,69,0.5,0.375,0.5,5.44673737166631
Financial District,37.78602958403447,-122.40412189479284,Entire home/apt,2,1,5.0,f,28,363,39,84,0.5,0.5,1.0,5.8971538676367405
Mission,37.763948,-122.4212883,Private room,2,0,0.0,f,0,212,53,61,0.5,0.5,0.5,4.634728988229636
Inner Sunset,37.75052,-122.46653,Entire home/apt,6,15,4.93,t,2,42,38,41,0.5,0.3333333333333333,0.8333333333333334,6.163314804034641
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,1,5.0,f,30,365,34,46,0.5,0.5,0.5,5.572154032177765
Russian Hill,37.80549999999999,-122.4205787,Entire home/apt,4,0,0.0,f,0,180,14,86,0.25,0.25,0.25,6.214608098422191
Mission,37.75423,-122.42412,Entire home/apt,3,1,4.0,f,18,258,15,54,0.3333333333333333,0.3333333333333333,0.6666666666666666,4.605170185988092
Haight Ashbury,37.77196,-122.44437,Entire home/apt,8,56,4.93,t,3,261,62,83,0.375,0.3125,0.375,6.19644412779452
Castro/Upper Market,37.75852,-122.4356,Entire home/apt,4,237,4.95,t,9,288,67,74,0.25,0.25,0.5,5.631211781821365
Excelsior,37.71959,-122.42941,Private room,1,8,5.0,t,15,165,42,89,1.0,1.0,1.0,3.9889840465642745
Chinatown,37.79102,-122.40678,Private room,4,6,4.67,f,9,208,32,66,0.25,0.25,0.5,5.204006687076795
Downtown/Civic Center,37.7873983946546,-122.41464548838816,Entire home/apt,4,18,4.83,t,13,61,30,52,0.0,0.25,0.5,5.062595033026967
Inner Richmond,37.78436,-122.47446,Entire home/apt,2,158,4.94,t,3,13,47,78,0.5,0.5,1.0,5.049856007249537
Inner Richmond,37.77608489990234,-122.4555206298828,Private room,1,517,4.88,t,13,323,24,44,1.0,1.0,1.0,4.51085950651685
West of Twin Peaks,37.73609,-122.44816,Entire home/apt,4,1,4.0,f,18,348,8,71,0.25,0.25,0.0,4.912654885736052
Parkside,37.74385369509232,-122.47582977217031,Private room,1,4,5.0,t,1,241,40,73,1.0,1.0,1.0,3.9318256327243257
Downtown/Civic Center,37.7874,-122.41308,Private room,2,257,4.54,f,27,298,24,78,0.0,0.5,0.5,4.700480365792417
Outer Sunset,37.75518,-122.50224,Entire home/apt,4,89,4.81,f,0,328,47,71,0.5,0.25,0.5,5.393627546352362
Inner Sunset,37.7596,-122.47675,Private room,4,70,4.71,f,11,319,26,86,0.25,0.25,0.75,4.762173934797756
Downtown/Civic Center,37.78557,-122.41064,Private room,3,66,4.86,f,20,232,43,54,0.3333333333333333,0.3333333333333333,1.0,4.770684624465665
Mission,37.75011,-122.41426,Entire home/apt,2,6,5.0,f,0,44,29,42,1.0,0.5,0.5,4.700480365792417
Western Addition,37.78457,-122.43177,Entire home/apt,2,32,4.7,f,0,335,23,0,0.5,0.5,0.5,5.062595033026967
Outer Sunset,37.74882,-122.48012,Shared room,2,17,5.0,t,0,213,16,83,0.5,0.5,0.5,3.6109179126442243
Noe Valley,37.75244,-122.43127,Entire home/apt,2,126,4.82,f,0,214,21,43,0.5,0.5,0.5,4.859812404361672
Downtown/Civic Center,37.7889904,-122.4127915,Entire home/apt,4,4,5.0,f,0,180,22,66,0.25,0.25,0.5,5.857933154483459
Nob Hill,37.79082002888226,-122.41802389406564,Entire home/apt,2,2,5.0,f,8,12,33,28,0.0,0.5,0.5,5.062595033026967
Financial District,37.79033,-122.4047,Private room,4,115,4.72,f,17,147,21,87,0.25,0.25,0.5,5.099866427824199
Inner Richmond,37.77972,-122.45147,Entire home/apt,6,31,4.97,t,0,48,77,69,0.5,0.5833333333333334,1.0,6.52795791762255
Noe Valley,37.7516837,-122.4258032,Private room,2,0,0.0,f,22,352,10,14,0.5,0.75,0.5,4.48863636973214
Downtown/Civic Center,37.78673296645075,-122.41312843307772,Entire home/apt,4,9,5.0,t,15,63,30,52,0.0,0.25,0.5,5.062595033026967
Outer Sunset,37.75369,-122.48291,Entire home/apt,4,1,5.0,f,0,91,44,90,0.75,0.5,0.75,5.991464547107982
Chinatown,37.7904,-122.40855,Private room,4,498,4.92,t,2,306,35,89,0.25,0.25,0.25,5.062595033026967
Nob Hill,37.79241,-122.41953,Private room,2,5,4.8,f,0,274,15,38,0.5,0.5,0.5,4.477336814478207
Inner Richmond,37.77859,-122.44793,Entire home/apt,10,154,4.95,t,15,72,50,76,0.4,0.4,0.4,6.717804695023691
Western Addition,37.7813,-122.43354,Entire home/apt,1,8,4.63,f,0,335,29,18,1.0,1.0,1.0,4.787491742782046
Potrero Hill,37.76053,-122.39495,Entire home/apt,2,83,4.87,t,2,314,29,81,0.5,0.5,0.5,5.247024072160486
West of Twin Peaks,37.74558202348935,-122.46480088141593,Entire home/apt,6,1,5.0,f,0,184,45,64,0.6666666666666666,0.5,0.6666666666666666,6.244166900663736
Outer Sunset,37.76148,-122.49266,Entire home/apt,2,79,4.92,t,7,25,52,76,0.5,0.5,2.0,4.812184355372417
Downtown/Civic Center,37.78794,-122.4125,Entire home/apt,2,1,5.0,f,28,363,47,83,0.5,0.5,0.5,5.342334251964811
Visitacion Valley,37.71167,-122.39885,Entire home/apt,4,266,4.7,f,30,270,36,60,0.0,0.25,0.5,4.787491742782046
Western Addition,37.77618392039871,-122.42824212082692,Entire home/apt,2,6,4.83,f,3,4,26,70,0.5,0.5,0.5,5.062595033026967
Inner Sunset,37.76063537597656,-122.47610473632812,Entire home/apt,13,168,4.77,f,6,296,65,82,0.3076923076923077,0.19230769230769232,0.6153846153846154,5.87493073085203
Inner Richmond,37.7789918,-122.4741372,Entire home/apt,4,2,5.0,f,15,104,49,64,0.5,0.25,0.75,6.118097198041348
Outer Richmond,37.774636407312464,-122.48889990760946,Entire home/apt,3,38,4.95,t,21,251,28,76,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.272999558563747
Outer Sunset,37.7472647,-122.4934708,Private room,2,2,5.0,f,20,345,52,79,0.5,0.5,0.5,4.406719247264253
Bernal Heights,37.739,-122.41786,Entire home/apt,10,11,5.0,f,0,29,68,80,0.5,0.3,0.4,6.054439346269371
North Beach,37.80126,-122.40576,Entire home/apt,6,8,4.75,f,0,218,64,14,0.3333333333333333,0.16666666666666666,0.5,5.135798437050262
Haight Ashbury,37.76791,-122.44643,Entire home/apt,3,528,4.86,t,10,51,30,52,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.962844630259907
Marina,37.805202,-122.445206,Entire home/apt,10,83,4.93,t,8,291,73,75,0.4,0.4,0.5,6.904750769961838
Downtown/Civic Center,37.7787601,-122.4222545,Entire home/apt,2,3,5.0,f,15,213,34,54,0.0,0.5,0.5,4.9344739331306915
Mission,37.76735,-122.42075,Private room,2,29,4.17,f,19,354,26,59,0.5,0.5,0.5,4.343805421853684
Inner Sunset,37.76434,-122.46266,Entire home/apt,2,2,4.0,f,0,311,11,70,0.5,0.5,0.5,4.61512051684126
South of Market,37.77766,-122.4143,Hotel room,4,0,0.0,f,24,346,23,40,0.25,0.25,0.0,5.4116460518550396
Noe Valley,37.755706787109375,-122.42703247070312,Entire home/apt,6,22,4.91,t,0,39,45,79,0.5,0.3333333333333333,0.5,6.20455776256869
Lakeshore,37.73177,-122.48911,Private room,2,7,4.43,f,0,283,36,25,0.5,0.5,0.5,3.912023005428146
Castro/Upper Market,37.76345,-122.42713,Entire home/apt,4,5,4.8,f,0,222,33,56,0.5,0.25,0.5,5.886104031450156
Presidio,37.79183,-122.45,Entire home/apt,2,1,5.0,f,23,358,21,66,1.0,2.0,1.0,6.214608098422191
Castro/Upper Market,37.76373,-122.43594,Entire home/apt,4,35,4.91,t,1,110,42,71,0.5,0.5,0.5,6.0112671744041615
Downtown/Civic Center,37.78899,-122.41279,Entire home/apt,4,0,0.0,t,19,308,50,69,0.25,0.25,0.5,5.652489180268651
Downtown/Civic Center,37.7885,-122.41112,Entire home/apt,2,1,5.0,t,0,3,21,91,0.0,0.5,0.5,4.605170185988092
Castro/Upper Market,37.766075,-122.437706,Entire home/apt,4,10,4.9,t,0,60,26,85,0.5,0.25,0.5,5.541263545158426
Mission,37.74917,-122.417,Entire home/apt,11,8,4.75,f,9,219,60,92,0.6363636363636364,0.45454545454545453,0.6363636363636364,5.886104031450156
Western Addition,37.78667,-122.44221,Private room,1,11,5.0,t,0,176,71,51,1.0,1.0,1.0,4.700480365792417
Noe Valley,37.747669,-122.425255,Private room,2,316,4.98,t,5,217,51,77,0.5,0.5,0.5,4.330733340286331
South of Market,37.77174323834394,-122.39226763084228,Entire home/apt,3,1,5.0,f,0,212,46,74,0.3333333333333333,0.3333333333333333,0.6666666666666666,5.298317366548036
Haight Ashbury,37.76529,-122.44437,Entire home/apt,2,659,4.99,t,3,91,42,75,0.5,0.5,0.5,5.043425116919247
North Beach,37.80512,-122.41524,Private room,1,42,4.88,f,1,285,34,46,1.0,1.5,1.0,4.04305126783455
Western Addition,37.78927,-122.42226,Private room,2,0,0.0,f,30,365,36,49,0.5,0.5,0.5,5.572154032177765
South of Market,37.78573912900136,-122.39505372805216,Private room,1,4,5.0,t,2,305,45,47,1.0,1.0,1.0,4.382026634673881
Castro/Upper Market,37.75912,-122.44117,Entire home/apt,4,0,0.0,f,30,365,44,84,1.0,0.875,1.0,7.01301578963963
Mission,37.76076,-122.4241,Entire home/apt,5,38,4.79,f,21,125,45,82,0.6,0.4,0.6,5.978885764901122
Ocean View,37.71887940020262,-122.45536917833718,Entire home/apt,10,8,5.0,t,24,344,53,82,0.4,0.2,0.6,6.159095388491933
Nob Hill,37.79149,-122.41101,Entire home/apt,2,4,5.0,t,4,287,57,35,0.0,0.5,0.5,5.442417710521793
Nob Hill,37.79184,-122.40965,Hotel room,2,78,4.59,f,28,363,22,74,0.5,0.5,0.5,5.318119993844216
South of Market,37.7690435,-122.4034142,Entire home/apt,5,10,5.0,f,0,212,37,81,0.4,0.4,0.4,5.655991810819852
Mission,37.760314302701104,-122.42100975629918,Entire home/apt,2,0,0.0,f,0,304,10,41,0.5,0.5,1.0,4.584967478670572
Downtown/Civic Center,37.78728003066088,-122.4092574737874,Entire home/apt,4,2,5.0,t,27,355,13,69,0.0,0.25,0.5,5.700443573390687
Ocean View,37.716029178504414,-122.45337653034198,Entire home/apt,6,2,5.0,t,25,242,55,75,0.5,0.3333333333333333,0.5,5.53338948872752
Noe Valley,37.7547,-122.43121,Entire home/apt,2,4,4.5,f,2,2,52,73,0.5,0.5,0.5,5.123963979403259
Potrero Hill,37.75693,-122.3995,Entire home/apt,2,1,5.0,f,30,365,10,37,0.5,0.5,0.5,4.912654885736052
Mission,37.76296,-122.42,Entire home/apt,2,23,4.22,f,7,318,24,49,0.5,0.5,0.5,4.356708826689592
Inner Richmond,37.77582,-122.47378,Entire home/apt,3,6,5.0,t,3,157,49,77,0.6666666666666666,0.8333333333333334,1.6666666666666667,5.541263545158426
West of Twin Peaks,37.73901,-122.45972,Private room,2,34,4.88,t,0,243,33,69,0.5,0.5,0.5,4.04305126783455
Russian Hill,37.79930403959026,-122.41259052390832,Private room,2,4,5.0,t,2,107,29,54,0.5,0.5,0.5,4.844187086458591
Bayview,37.73417,-122.4015,Entire home/apt,3,13,4.92,f,22,291,13,55,0.3333333333333333,0.3333333333333333,0.6666666666666666,4.605170185988092
Potrero Hill,37.75974,-122.39655,Entire home/apt,4,13,5.0,t,15,211,57,74,0.5,0.25,0.5,5.135798437050262
Outer Sunset,37.76116,-122.48542,Entire home/apt,4,4,4.5,f,0,335,45,57,0.25,0.25,0.5,4.394449154672439
South of Market,37.7690435,-122.4034142,Entire home/apt,4,6,5.0,f,1,191,22,41,0.5,0.5,0.5,5.991464547107982
Nob Hill,37.79518,-122.42098,Entire home/apt,10,0,0.0,f,30,365,45,75,0.4,0.2,0.4,5.978885764901122
Mission,37.76077,-122.42561,Entire home/apt,4,424,4.96,f,10,102,78,58,0.25,0.25,0.5,4.882801922586371
Castro/Upper Market,37.7588133,-122.4320595,Entire home/apt,2,4,4.25,f,0,334,51,41,0.5,0.5,0.5,5.811140992976701
Marina,37.79693,-122.44216,Entire home/apt,4,303,4.95,t,16,311,70,74,0.25,0.25,0.5,5.934894195619588
Nob Hill,37.79351,-122.41629,Private room,1,0,0.0,f,29,364,9,69,1.0,1.0,1.0,4.663439094112067
Outer Sunset,37.75138,-122.4935,Private room,2,312,4.89,t,5,176,54,71,0.5,0.5,0.5,4.189654742026425
Ocean View,37.72556,-122.47085,Entire home/apt,7,0,0.0,f,30,365,4,17,0.2857142857142857,0.14285714285714285,0.5714285714285714,4.31748811353631
Mission,37.7508,-122.41927,Private room,2,91,4.88,t,12,162,64,56,0.5,0.5,0.5,4.709530201312334
Marina,37.79795,-122.43064,Entire home/apt,12,11,4.73,f,29,358,49,86,0.3333333333333333,0.16666666666666666,0.4166666666666667,5.627621113690637
Outer Mission,37.73232,-122.44834,Private room,1,12,4.75,f,29,269,57,37,2.0,1.0,2.0,4.0943445622221
Nob Hill,37.79171,-122.41435,Entire home/apt,3,8,4.88,f,2,2,11,50,0.0,0.3333333333333333,0.6666666666666666,5.393627546352362
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,0,0.0,f,30,365,35,71,0.5,0.5,0.5,5.572154032177765
Crocker Amazon,37.71137,-122.43826,Private room,2,320,4.96,t,11,62,32,66,0.5,0.5,0.5,4.454347296253507
Bernal Heights,37.74672864231257,-122.42352316017268,Entire home/apt,3,22,4.91,t,6,140,30,91,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.730099782973574
Western Addition,37.78024,-122.44424,Entire home/apt,9,127,4.87,t,6,108,44,72,0.3333333333333333,0.3333333333333333,0.4444444444444444,5.966146739123692
Outer Mission,37.7136488,-122.4483831,Entire home/apt,4,35,4.97,t,0,209,53,87,0.5,0.25,0.5,5.135798437050262
Excelsior,37.72258,-122.43453,Entire home/apt,3,153,4.92,f,20,355,40,74,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.990432586778736
Castro/Upper Market,37.75986,-122.43832,Entire home/apt,2,0,0.0,f,0,153,28,72,0.5,0.5,0.5,5.2832037287379885
Outer Mission,37.71267,-122.44828,Entire home/apt,2,1,5.0,t,0,69,6,10,0.5,0.5,0.5,4.219507705176107
Pacific Heights,37.79038,-122.42417,Private room,2,24,4.79,t,5,327,28,71,0.5,0.5,0.5,4.68213122712422
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,4,4.0,f,30,365,36,40,0.5,0.5,0.5,5.736572297479192
Downtown/Civic Center,37.7888,-122.4094,Entire home/apt,4,14,4.86,t,16,16,34,79,0.0,0.25,1.0,5.407171771460119
Bayview,37.73369,-122.39097,Private room,1,5,4.2,f,0,243,12,40,1.0,1.0,1.0,4.127134385045092
Pacific Heights,37.79033,-122.4442,Entire home/apt,4,0,0.0,f,24,359,9,61,0.5,0.25,0.5,5.68697535633982
Mission,37.74991,-122.42286,Entire home/apt,6,8,4.63,t,0,335,49,75,0.5,0.3333333333333333,0.5,5.87493073085203
Potrero Hill,37.7639,-122.39472,Entire home/apt,4,182,4.68,t,1,268,53,41,0.25,0.25,0.5,4.48863636973214
Chinatown,37.79230650041446,-122.408029932422,Entire home/apt,4,0,0.0,f,2,100,20,11,0.25,0.25,0.5,5.583496308781699
Downtown/Civic Center,37.78706,-122.40925,Entire home/apt,3,11,5.0,t,0,7,21,73,0.0,0.3333333333333333,0.6666666666666666,4.605170185988092
Glen Park,37.74047324803343,-122.42988806253996,Entire home/apt,2,9,4.89,f,1,336,51,77,0.5,0.5,0.5,4.867534450455582
Mission,37.760919,-122.41671,Entire home/apt,6,7,4.86,f,0,208,28,68,0.5,0.5,0.8333333333333334,6.1092475827643655
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,1,3.0,f,30,365,34,47,0.5,0.5,0.5,5.572154032177765
North Beach,37.7999111,-122.4093793,Private room,2,4,3.75,f,0,56,19,80,0.5,0.5,0.5,3.828641396489095
Inner Richmond,37.78336612231625,-122.4723984117458,Entire home/apt,12,69,4.96,t,9,325,78,66,0.25,0.16666666666666666,0.5,6.173786103901937
Chinatown,37.7924079061813,-122.4078821955508,Entire home/apt,2,0,0.0,f,0,7,20,11,0.0,0.5,0.5,5.717027701406222
Excelsior,37.72506,-122.40767,Entire home/apt,4,12,5.0,f,23,239,31,68,0.5,0.25,0.5,5.10594547390058
Russian Hill,37.7993,-122.41903,Entire home/apt,6,21,5.0,f,9,330,43,66,0.3333333333333333,0.25,0.3333333333333333,5.739792912179234
Pacific Heights,37.79373,-122.42655,Entire home/apt,2,14,4.5,f,17,289,36,71,0.0,0.5,0.5,4.663439094112067
Chinatown,37.79215,-122.40765,Entire home/apt,2,1,5.0,f,0,88,20,11,0.0,0.5,0.5,5.564520407322694
Parkside,37.74098365821647,-122.49143978199496,Entire home/apt,6,90,4.96,t,12,290,43,89,0.5,0.3333333333333333,0.5,5.631211781821365
Twin Peaks,37.74928,-122.44407,Entire home/apt,4,1,5.0,t,0,204,64,85,0.25,0.25,0.0,4.787491742782046
Inner Richmond,37.77663,-122.456,Entire home/apt,1,5,5.0,f,0,58,28,78,0.0,1.0,1.0,4.110873864173311
