neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,desc_word_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,log_price
Lakeshore,37.72036540189434,-122.4734914762722,Entire home/apt,5,3,5.0,f,10,176,51,74,0.6,0.2,1.0,5.568344503761097
Bernal Heights,37.74299,-122.40814,Entire home/apt,4,47,4.94,t,0,212,45,61,0.5,0.25,0.5,5.521460917862246
Inner Sunset,37.75876,-122.46663,Entire home/apt,4,378,4.64,f,13,113,33,75,0.5,0.5,0.5,5.19295685089021
Nob Hill,37.79437073999004,-122.4174499777494,Entire home/apt,5,20,5.0,t,16,248,32,47,0.4,0.3,0.6,6.025865973825314
Haight Ashbury,37.7620402,-122.4470998,Entire home/apt,8,41,4.98,t,11,17,72,46,0.375,0.1875,0.625,5.808142489980444
Chinatown,37.79092,-122.40788,Private room,2,67,4.7,f,22,164,13,20,0.5,0.75,0.5,5.081404364984463
Western Addition,37.7879469971816,-122.4251837917047,Entire home/apt,6,29,5.0,f,12,221,52,81,0.5,0.4166666666666667,0.5,6.628041376179533
South of Market,37.77559,-122.40918,Private room,2,234,4.96,t,10,146,58,76,0.5,0.5,0.5,4.770684624465665
Visitacion Valley,37.71139672518184,-122.3985533027773,Entire home/apt,4,1,5.0,f,0,46,23,47,0.5,0.25,0.5,4.276666119016055
Outer Richmond,37.78275,-122.48148,Private room,1,4,5.0,t,0,175,21,79,1.0,1.0,0.0,4.060443010546419
Ocean View,37.71690785284558,-122.46812097081828,Entire home/apt,5,122,4.98,t,10,181,54,75,0.6,0.4,0.6,5.272999558563747
Bernal Heights,37.74442,-122.42287,Entire home/apt,3,7,4.86,t,16,351,41,81,1.0,0.3333333333333333,1.0,5.1647859739235145
South of Market,37.77552,-122.38932,Entire home/apt,2,3,5.0,f,17,343,46,78,0.5,0.5,0.5,6.580639137284949
Western Addition,37.77395,-122.42404,Entire home/apt,4,87,4.92,f,29,360,47,59,0.25,0.25,0.5,5.278114659230517
Russian Hill,37.80117315176185,-122.4219342542942,Entire home/apt,4,5,5.0,t,1,84,59,66,0.5,0.25,0.75,5.389071729816501
Marina,37.8009199,-122.4258129,Private room,6,6,4.33,f,27,339,9,27,0.0,0.16666666666666666,0.0,5.707110264748875
Western Addition,37.78645,-122.43827,Entire home/apt,6,252,4.82,t,0,89,56,27,0.5,0.4166666666666667,0.5,6.476972362889683
Downtown/Civic Center,37.7787601,-122.4222545,Private room,2,0,0.0,f,0,97,7,70,0.5,0.5,0.5,7.368970402194793
Haight Ashbury,37.773022983376016,-122.44484202477132,Entire home/apt,8,0,0.0,f,29,269,12,72,0.5,0.25,0.5,6.38856140554563
Castro/Upper Market,37.76328882373894,-122.43850325992526,Entire home/apt,6,0,0.0,t,20,108,36,80,0.5,0.5,1.0,5.986452005284438
Mission,37.7512,-122.41586,Private room,2,104,4.83,t,8,233,42,80,0.5,0.5,0.5,4.553876891600541
Haight Ashbury,37.765819,-122.452055,Entire home/apt,8,9,5.0,t,0,315,54,73,0.625,0.4375,0.625,5.8916442118257715
Russian Hill,37.79752,-122.41215,Entire home/apt,2,5,4.0,f,0,234,34,71,0.0,0.5,1.0,4.248495242049359
Noe Valley,37.75232,-122.43193,Entire home/apt,4,66,4.8,t,0,332,70,58,0.5,0.375,0.75,5.198497031265826
West of Twin Peaks,37.73398,-122.45504,Private room,1,69,4.62,f,30,365,27,91,1.0,0.0,0.0,4.330733340286331
Bernal Heights,37.74474,-122.42089,Entire home/apt,4,105,4.87,f,22,357,17,90,0.5,0.5,0.5,5.521460917862246
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,0,0.0,f,30,365,35,49,0.5,0.5,0.5,5.572154032177765
Bernal Heights,37.73883,-122.41796,Entire home/apt,4,122,4.93,f,10,117,70,82,0.5,0.25,0.5,5.3612921657094255
Bayview,37.71625582405476,-122.38963608970197,Private room,5,0,0.0,f,22,33,52,10,0.4,0.4,0.4,5.501258210544727
North Beach,37.79817,-122.40611,Entire home/apt,2,71,4.93,f,10,10,39,81,0.5,0.5,0.5,5.8944028342648505
Western Addition,37.78611373901367,-122.4463882446289,Hotel room,3,2,4.0,f,23,355,10,85,0.3333333333333333,0.3333333333333333,0.6666666666666666,6.073044534100405
Castro/Upper Market,37.76092,-122.42687,Entire home/apt,5,5,5.0,f,23,173,14,44,0.4,0.4,0.6,5.752572638825633
South of Market,37.77678009277589,-122.4073257571297,Private room,2,0,0.0,f,23,83,9,44,0.5,5.0,0.5,4.007333185232471
Noe Valley,37.74891,-122.43194,Entire home/apt,5,354,4.85,t,5,5,37,75,0.4,0.2,0.6,5.4116460518550396
Western Addition,37.77548,-122.43234,Entire home/apt,4,0,0.0,f,0,123,19,49,0.5,0.25,0.75,4.890349128221754
Outer Richmond,37.7790947,-122.4945621,Entire home/apt,2,93,4.62,f,14,151,45,66,0.5,0.5,1.5,4.948759890378168
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,0,0.0,f,30,365,34,14,0.5,0.5,0.5,5.572154032177765
Excelsior,37.71789,-122.43813,Entire home/apt,4,142,4.82,t,15,158,41,40,0.5,0.25,0.5,4.672828834461906
Excelsior,37.71797,-122.43917,Entire home/apt,5,430,4.9,t,12,240,42,84,0.4,0.2,0.6,5.017279836814924
Ocean View,37.71964,-122.46543,Private room,2,32,4.75,t,18,49,30,74,0.5,0.5,0.5,4.465908118654584
Nob Hill,37.79173,-122.41015,Entire home/apt,2,3,5.0,f,26,361,28,44,0.5,0.5,0.5,5.0238805208462765
Western Addition,37.77166,-122.43671,Private room,4,4,5.0,t,12,315,8,46,0.0,0.25,0.5,5.8971538676367405
Crocker Amazon,37.71094,-122.43134,Entire home/apt,6,226,4.74,t,21,351,33,80,0.6666666666666666,0.16666666666666666,0.5,4.890349128221754
Mission,37.75444,-122.42473,Entire home/apt,2,42,4.7,f,27,362,39,78,1.0,0.5,0.5,4.787491742782046
Downtown/Civic Center,37.78904,-122.41335,Entire home/apt,2,434,4.6,f,13,280,24,78,0.0,0.5,0.5,6.779921907472252
Western Addition,37.77133,-122.43612,Private room,2,861,4.93,t,0,224,41,80,0.5,0.5,0.5,4.59511985013459
Outer Mission,37.71653,-122.44396,Entire home/apt,3,218,4.9,t,9,116,67,79,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.787491742782046
Outer Sunset,37.75058,-122.48564,Entire home/apt,4,114,4.95,t,4,177,47,78,0.5,0.25,0.5,5.187385805840755
Downtown/Civic Center,37.77988,-122.42172,Entire home/apt,4,54,4.74,t,14,14,20,70,0.25,0.25,0.5,5.220355825078324
Downtown/Civic Center,37.78671414259941,-122.41169615211489,Private room,2,84,4.88,t,18,148,22,67,0.5,0.5,0.5,5.3706380281276624
Excelsior,37.72225,-122.41058,Private room,2,285,4.76,t,0,296,19,79,0.5,0.5,0.5,4.127134385045092
North Beach,37.80644,-122.41687,Entire home/apt,2,0,0.0,f,28,363,52,79,0.5,0.5,0.5,5.840641657373398
Downtown/Civic Center,37.7851394,-122.4097605,Private room,1,1,5.0,f,0,285,43,52,1.0,4.0,1.0,4.31748811353631
Western Addition,37.7755,-122.42937,Entire home/apt,3,14,4.93,f,13,253,22,0,0.6666666666666666,0.3333333333333333,0.6666666666666666,4.890349128221754
Bayview,37.73064,-122.38995,Entire home/apt,3,26,4.96,f,15,350,46,67,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.241747015059643
Haight Ashbury,37.77311,-122.44181,Entire home/apt,1,0,0.0,f,23,83,26,24,0.0,1.0,1.0,5.0238805208462765
Excelsior,37.72608,-122.42405,Entire home/apt,1,15,5.0,t,29,269,51,69,1.0,1.0,1.0,5.231108616854587
Western Addition,37.77723,-122.4243,Entire home/apt,4,12,5.0,f,2,318,45,79,0.5,0.5,0.5,5.8998973535824915
Outer Sunset,37.75424,-122.50553,Entire home/apt,4,0,0.0,f,30,270,16,77,0.5,0.25,0.75,5.5053315359323625
Western Addition,37.77035810389658,-122.42925991848392,Entire home/apt,8,21,4.81,f,0,255,44,71,0.375,0.375,0.5,5.966146739123692
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,0,0.0,f,30,365,36,49,0.5,0.5,0.5,5.572154032177765
Mission,37.75332,-122.41788,Private room,1,0,0.0,t,28,363,26,62,4.0,1.0,1.0,4.382026634673881
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,0,0.0,f,30,365,35,70,0.5,0.5,0.5,5.572154032177765
Crocker Amazon,37.70976,-122.44522,Private room,2,57,4.58,f,29,121,15,36,0.5,0.5,0.5,4.23410650459726
Potrero Hill,37.75765,-122.39104,Entire home/apt,2,1,5.0,f,1,39,38,69,0.5,0.5,0.5,5.60947179518496
Pacific Heights,37.78946,-122.43538,Entire home/apt,6,83,4.9,t,29,346,18,0,0.5,0.4166666666666667,0.6666666666666666,6.802394763324311
Excelsior,37.73158,-122.40616,Private room,2,15,5.0,f,8,343,40,60,0.5,0.5,0.5,4.04305126783455
Haight Ashbury,37.76645,-122.44793,Entire home/apt,4,62,4.97,t,0,76,49,80,0.25,0.25,0.5,4.8283137373023015
Haight Ashbury,37.77031,-122.44948,Private room,2,625,4.53,t,20,348,24,24,0.5,1.0,0.5,4.356708826689592
Downtown/Civic Center,37.78612,-122.41434,Entire home/apt,2,7,4.86,t,0,213,17,70,0.5,0.5,0.5,4.499809670330265
Downtown/Civic Center,37.7889904,-122.4127915,Entire home/apt,6,0,0.0,t,10,283,48,69,0.3333333333333333,0.16666666666666666,0.5,5.793013608384144
Outer Mission,37.72733144715673,-122.4460082128644,Entire home/apt,5,67,4.97,t,5,31,70,24,0.6,0.6,0.6,5.700443573390687
Nob Hill,37.79202,-122.42089,Private room,2,11,4.82,f,0,305,13,36,0.5,0.5,0.5,4.189654742026425
Western Addition,37.78355,-122.43062,Entire home/apt,2,586,4.92,t,11,335,29,66,0.5,0.5,0.5,5.056245805348308
Bernal Heights,37.738391203564255,-122.41494945314074,Entire home/apt,6,7,5.0,f,10,160,32,77,0.6666666666666666,0.4166666666666667,0.6666666666666666,6.068425588244111
Mission,37.75102,-122.41685,Private room,1,6,5.0,f,0,76,44,78,1.0,1.0,1.0,4.23410650459726
Mission,37.75757,-122.41825,Entire home/apt,4,6,5.0,t,0,213,64,77,0.5,0.25,0.5,5.480638923341991
Downtown/Civic Center,37.78464,-122.41088,Shared room,4,295,4.66,f,30,242,35,63,0.25,0.25,1.0,3.713572066704308
Ocean View,37.7219,-122.4499,Private room,2,0,0.0,f,19,354,12,91,0.5,0.5,0.5,4.174387269895637
Western Addition,37.78101,-122.4321,Private room,1,31,4.84,f,0,314,23,17,1.0,1.0,1.0,4.007333185232471
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,1,3.0,f,30,365,35,46,0.5,0.5,0.5,5.572154032177765
Downtown/Civic Center,37.78504,-122.41254,Private room,2,174,4.64,f,30,240,41,54,0.5,0.5,0.5,4.465908118654584
Western Addition,37.774845,-122.436333,Entire home/apt,3,25,4.76,t,17,244,40,37,0.6666666666666666,0.3333333333333333,0.6666666666666666,5.7430031878094825
Downtown/Civic Center,37.78787,-122.41042,Entire home/apt,4,5,5.0,f,0,180,24,27,0.25,0.25,0.5,5.521460917862246
Ocean View,37.72363739204296,-122.46041159044564,Private room,2,2,5.0,t,22,82,43,35,0.5,0.5,0.5,4.454347296253507
Lakeshore,37.73252,-122.47547,Entire home/apt,2,42,4.81,t,17,174,49,31,0.0,0.5,0.5,4.897839799950911
Crocker Amazon,37.71066,-122.44345,Private room,2,21,4.9,t,8,8,29,40,0.5,0.5,0.5,4.219507705176107
Bayview,37.73457,-122.39348,Private room,1,54,4.9,t,13,348,53,15,1.0,1.0,1.0,4.189654742026425
Twin Peaks,37.75899,-122.44726,Entire home/apt,6,47,4.87,f,20,355,49,84,0.5,0.4166666666666667,0.5,7.037905963447182
Ocean View,37.72496,-122.46135,Entire home/apt,7,0,0.0,f,0,306,40,77,0.42857142857142855,0.42857142857142855,0.42857142857142855,5.598421958998375
Inner Sunset,37.75654,-122.46552,Entire home/apt,4,417,4.9,t,10,296,44,79,0.5,0.25,0.5,5.351858133476067
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,1,5.0,f,30,365,35,70,0.5,0.5,0.5,5.572154032177765
Pacific Heights,37.78963,-122.446,Private room,2,125,4.95,t,6,293,36,50,0.5,0.5,0.5,5.3981627015177525
Western Addition,37.77466,-122.43716,Entire home/apt,6,1,5.0,t,30,365,18,35,0.5,0.3333333333333333,0.5,6.726233402358747
Western Addition,37.77651849522423,-122.44214812941355,Private room,1,74,4.97,t,3,9,64,79,1.0,1.0,1.0,4.61512051684126
Noe Valley,37.74768829345703,-122.42521667480467,Private room,2,433,4.96,t,3,227,49,76,0.5,0.5,0.5,4.442651256490317
Outer Sunset,37.75547,-122.48016,Entire home/apt,6,148,4.88,t,7,35,50,50,0.3333333333333333,0.3333333333333333,0.6666666666666666,5.384495062789089
Bayview,37.73371,-122.39944,Entire home/apt,4,2,5.0,f,6,49,27,75,0.5,0.25,0.5,4.990432586778736
Outer Sunset,37.76319,-122.49608,Entire home/apt,4,148,4.84,t,6,108,26,82,0.5,0.25,0.75,5.204006687076795
Western Addition,37.7772,-122.42697,Entire home/apt,4,5,5.0,t,0,262,36,72,0.25,0.25,0.5,4.941642422609304
Noe Valley,37.74955,-122.43591,Entire home/apt,3,202,4.84,t,2,322,39,73,0.3333333333333333,0.3333333333333333,0.6666666666666666,5.58724865840025
Mission,37.75025869731763,-122.41292509782014,Private room,2,29,4.93,t,1,6,40,93,0.5,0.5,1.0,4.5217885770490405
Mission,37.75121,-122.40993,Private room,1,121,4.54,f,0,332,44,66,1.0,1.0,1.0,3.6888794541139363
Noe Valley,37.75256,-122.4257,Entire home/apt,5,52,4.88,f,5,7,69,68,0.4,0.4,0.6,6.054439346269371
Pacific Heights,37.78792,-122.44379,Entire home/apt,3,215,4.8,t,0,327,29,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.087596335232384
Western Addition,37.7861631,-122.4284746,Private room,1,1,5.0,f,0,254,26,71,1.0,1.0,1.0,4.110873864173311
Haight Ashbury,37.77257,-122.44973,Private room,2,163,4.96,t,12,174,30,47,0.5,1.0,0.5,4.31748811353631
Bayview,37.73579,-122.38472,Entire home/apt,6,41,4.93,t,27,288,68,66,0.5,0.5,0.5,6.169610732491456
North Beach,37.80249,-122.40909,Private room,2,28,4.93,t,27,168,36,68,0.5,0.5,0.5,5.579729825986222
West of Twin Peaks,37.7284095,-122.4575383,Private room,1,10,4.8,t,0,164,44,32,1.0,1.0,1.0,4.007333185232471
Outer Sunset,37.76348,-122.47867,Entire home/apt,5,8,5.0,t,5,44,48,82,0.4,0.2,0.6,5.262690188904886
Haight Ashbury,37.774923221523785,-122.44059859696338,Entire home/apt,8,2,5.0,f,28,363,35,63,0.5,0.375,0.5,5.978885764901122
Outer Sunset,37.76457,-122.47961,Private room,2,129,4.8,t,26,262,34,67,0.5,0.5,1.0,4.248495242049359
Bayview,37.73643,-122.38969,Private room,2,29,4.93,f,4,36,55,69,0.5,0.5,0.5,3.9889840465642745
Noe Valley,37.74647,-122.43051,Entire home/apt,2,0,0.0,t,0,119,8,85,0.5,0.75,0.5,6.089044875446846
Outer Sunset,37.75433,-122.47838,Private room,2,272,4.97,t,6,230,47,24,0.5,1.0,0.5,4.276666119016055
Chinatown,37.79065,-122.40489,Private room,2,19,4.37,f,26,239,32,64,0.5,0.5,0.5,5.056245805348308
Inner Sunset,37.76315,-122.47293,Entire home/apt,2,45,4.8,t,2,156,30,154,0.5,0.5,0.5,4.90527477843843
Outer Mission,37.72257,-122.43874,Entire home/apt,4,0,0.0,f,30,365,7,33,0.5,0.25,0.5,5.10594547390058
South of Market,37.7721601,-122.4110158,Entire home/apt,4,0,0.0,f,30,365,11,78,0.5,0.25,1.0,5.41610040220442
Presidio Heights,37.78373,-122.44935,Entire home/apt,8,16,4.75,f,0,299,51,81,0.25,0.25,0.5,5.963579343618446
Downtown/Civic Center,37.78899,-122.41279,Entire home/apt,6,0,0.0,t,10,283,48,69,0.3333333333333333,0.16666666666666666,0.5,5.793013608384144
Downtown/Civic Center,37.78902,-122.41001,Entire home/apt,3,5,5.0,t,0,8,21,76,0.0,0.3333333333333333,0.6666666666666666,5.298317366548036
Inner Richmond,37.78238,-122.47629,Private room,2,4,4.0,f,0,212,11,78,0.5,0.5,0.0,4.382026634673881
Outer Mission,37.72277,-122.43882,Private room,3,141,4.65,f,15,165,25,49,0.3333333333333333,0.3333333333333333,0.6666666666666666,3.9318256327243257
Bernal Heights,37.745853,-122.419228,Entire home/apt,4,7,5.0,t,0,196,46,78,0.5,0.25,0.5,5.187385805840755
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,0,0.0,f,30,365,35,47,0.5,0.5,0.5,5.572154032177765
Haight Ashbury,37.7696,-122.44924,Entire home/apt,4,39,4.92,f,0,59,41,48,0.25,0.375,0.25,5.605802066295998
Nob Hill,37.79007,-122.41083,Entire home/apt,2,7,5.0,f,21,52,26,77,0.0,0.5,0.5,4.859812404361672
Inner Richmond,37.77588,-122.46895,Entire home/apt,4,4,4.0,f,0,297,16,52,0.5,0.25,0.5,4.875197323201151
Haight Ashbury,37.76066,-122.44981,Private room,1,0,0.0,f,21,223,13,71,1.0,1.5,1.0,4.3694478524670215
West of Twin Peaks,37.74311,-122.45086,Entire home/apt,2,309,4.94,t,29,60,35,149,0.5,0.5,0.5,6.405228458030842
Mission,37.75748,-122.42204,Entire home/apt,7,21,4.9,f,29,364,43,56,0.5714285714285714,0.2857142857142857,0.5714285714285714,6.317164686747284
Inner Richmond,37.78614,-122.47544,Entire home/apt,9,5,4.8,t,11,173,64,72,0.5555555555555556,0.5,0.5555555555555556,6.934397209928558
Castro/Upper Market,37.7632546,-122.4369838,Private room,2,65,4.97,t,1,34,43,84,0.5,0.5,0.5,4.897839799950911
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,0,0.0,f,30,365,35,62,0.5,0.5,0.5,5.572154032177765
Parkside,37.74306,-122.47725,Entire home/apt,4,174,4.87,f,14,342,31,81,0.25,0.25,0.5,5.214935757608986
Visitacion Valley,37.71018,-122.40372,Entire home/apt,1,6,5.0,t,0,149,36,57,1.0,1.0,1.0,4.276666119016055
Pacific Heights,37.7962,-122.42666,Entire home/apt,2,15,4.87,f,3,307,12,34,0.5,0.5,0.5,4.955827057601261
Mission,37.75639068673546,-122.42203305976248,Entire home/apt,2,0,0.0,f,0,201,43,71,0.5,0.5,0.5,4.74493212836325
South of Market,37.77028,-122.4025,Entire home/apt,2,0,0.0,f,0,332,62,78,0.5,0.5,0.5,5.318119993844216
Parkside,37.74344194366393,-122.47373141130127,Private room,2,4,5.0,t,2,337,44,31,0.5,0.75,0.5,4.0943445622221
Outer Mission,37.72604445375029,-122.43453844204667,Private room,1,12,5.0,t,30,270,9,50,1.0,1.0,1.0,4.23410650459726
Diamond Heights,37.73591,-122.44311,Entire home/apt,6,25,4.96,f,0,8,70,76,0.5,0.3333333333333333,1.0,5.948034989180646
Western Addition,37.78267,-122.42476,Entire home/apt,4,9,4.89,t,11,315,36,63,0.5,0.25,0.25,5.1647859739235145
South of Market,37.77332,-122.39009,Entire home/apt,2,0,0.0,t,0,315,50,41,0.5,0.5,0.5,5.342334251964811
Outer Mission,37.73218,-122.43726,Private room,1,449,4.92,t,3,316,27,23,1.0,1.0,1.0,4.442651256490317
Excelsior,37.72545,-122.42687,Entire home/apt,2,127,4.88,t,21,67,36,76,0.5,0.5,0.5,4.6913478822291435
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,0,0.0,f,30,365,34,47,0.5,0.5,0.5,5.572154032177765
Outer Sunset,37.74921290545479,-122.5029635574766,Entire home/apt,2,56,5.0,t,5,56,47,85,0.5,0.5,0.5,5.272999558563747
Downtown/Civic Center,37.7886655763782,-122.40923582031648,Entire home/apt,4,0,0.0,t,0,3,6,79,0.0,0.25,0.5,5.231108616854587
Inner Sunset,37.76149684174903,-122.47374674786336,Private room,1,0,0.0,f,0,45,14,85,1.0,2.0,1.0,3.713572066704308
West of Twin Peaks,37.728857745184094,-122.46578438835536,Private room,4,15,4.8,t,29,179,43,61,0.5,0.5,0.75,5.342334251964811
Downtown/Civic Center,37.7884549,-122.4133224,Entire home/apt,4,0,0.0,f,23,358,43,44,0.5,0.375,0.25,6.907755278982137
Bernal Heights,37.7407,-122.42001,Entire home/apt,2,41,4.93,t,0,179,34,36,0.5,0.5,1.0,4.700480365792417
Financial District,37.78789,-122.4024,Entire home/apt,3,4,4.75,t,0,328,41,75,0.3333333333333333,0.3333333333333333,0.3333333333333333,5.598421958998375
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,3,4.0,f,30,365,35,73,0.5,0.5,0.5,5.572154032177765
Western Addition,37.77698,-122.44192,Entire home/apt,4,82,4.48,t,6,80,61,38,0.5,0.25,0.5,5.459585514144159
Haight Ashbury,37.77085,-122.44814,Private room,4,664,4.63,t,22,352,22,24,0.25,0.5,0.5,4.584967478670572
Russian Hill,37.80127,-122.41362,Entire home/apt,4,99,4.99,t,9,33,25,75,0.5,0.5,0.5,6.052089168924417
Downtown/Civic Center,37.789541,-122.411411,Private room,2,2,5.0,f,28,76,16,76,0.5,0.5,0.5,5.181783550292085
Potrero Hill,37.75305,-122.39995,Entire home/apt,8,12,4.83,f,0,212,41,69,0.375,0.25,0.5,5.480638923341991
Castro/Upper Market,37.76008224487305,-122.43833923339844,Entire home/apt,4,21,5.0,t,3,140,38,72,0.5,0.5,0.5,5.6937321388027
Inner Richmond,37.784,-122.47453,Private room,2,2,5.0,t,24,359,33,87,0.5,0.5,0.5,4.6913478822291435
North Beach,37.79920132970702,-122.40695039250085,Private room,2,0,0.0,f,0,278,18,83,0.5,1.0,0.5,3.7376696182833684
Financial District,37.78931,-122.40588,Private room,2,350,4.39,f,15,209,15,69,0.5,0.5,0.5,4.382026634673881
Outer Sunset,37.74931,-122.47838,Private room,3,555,4.92,t,7,328,31,76,0.3333333333333333,0.3333333333333333,0.3333333333333333,4.23410650459726
Chinatown,37.79723306346075,-122.40850086823392,Private room,2,0,0.0,f,0,111,19,82,0.0,1.0,0.5,3.713572066704308
Mission,37.75795,-122.41748,Private room,4,2,5.0,t,21,113,33,64,0.5,0.25,0.5,5.389071729816501
Castro/Upper Market,37.76858,-122.42896,Entire home/apt,16,29,4.79,t,2,266,46,74,0.625,0.25,0.8125,7.165493475060845
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,7,4.29,f,30,365,35,71,0.5,0.5,0.5,5.572154032177765
Pacific Heights,37.79486,-122.42672,Entire home/apt,2,0,0.0,f,0,298,40,78,0.5,0.5,0.5,5.459585514144159
West of Twin Peaks,37.72562,-122.45883,Private room,1,6,4.83,f,29,121,33,87,1.0,1.0,2.0,4.812184355372417
Western Addition,37.78408,-122.44436,Entire home/apt,4,39,4.85,t,0,207,44,36,0.25,0.25,0.5,4.418840607796598
Haight Ashbury,37.77333,-122.43793,Private room,2,57,4.79,t,21,351,8,54,0.0,0.5,0.5,5.62040086571715
North Beach,37.80407,-122.40901,Private room,5,27,4.85,t,7,301,53,80,0.4,0.2,0.4,5.860786223465865
Outer Richmond,37.77927,-122.47931,Entire home/apt,2,3,5.0,f,27,362,39,93,0.5,0.5,0.5,4.787491742782046
Western Addition,37.77993,-122.43442,Private room,4,3,5.0,f,10,309,26,67,0.25,0.25,0.5,5.961005339623274
Western Addition,37.78562,-122.44413,Entire home/apt,16,64,4.98,f,2,167,44,44,0.375,0.28125,0.5,7.4360278163518485
Pacific Heights,37.79442,-122.44469,Entire home/apt,4,8,5.0,t,0,243,49,70,0.75,0.5,0.75,7.4377951216719325
South of Market,37.7771596,-122.4088976,Private room,4,49,4.24,f,20,338,31,83,0.5,0.25,0.5,5.318119993844216
Potrero Hill,37.76151,-122.3965,Entire home/apt,4,54,4.98,t,1,34,55,77,0.25,0.25,0.5,5.768320995793772
Castro/Upper Market,37.7678124,-122.4293507,Entire home/apt,12,44,4.8,t,3,274,40,74,0.4166666666666667,0.16666666666666666,0.5,6.2766434893416445
Russian Hill,37.798268559056936,-122.42076996216232,Entire home/apt,2,0,0.0,f,29,269,6,42,0.0,0.5,0.5,5.0106352940962555
Noe Valley,37.74344559771088,-122.42615529330762,Entire home/apt,5,37,4.97,t,0,185,56,80,0.4,0.2,0.6,6.251903883165888
Castro/Upper Market,37.76017,-122.44277,Entire home/apt,2,16,5.0,t,8,11,58,61,0.5,0.5,0.5,5.389071729816501
Outer Richmond,37.77988,-122.48488,Entire home/apt,4,274,4.7,t,5,325,35,0,0.25,0.25,0.5,4.976733742420574
South of Market,37.77732,-122.41015,Private room,1,11,4.91,f,0,243,51,24,1.0,1.0,1.0,4.875197323201151
South of Market,37.7771791,-122.4076208,Private room,2,1,5.0,f,0,180,10,62,0.5,1.0,0.5,3.7376696182833684
Inner Richmond,37.77815,-122.45789,Entire home/apt,2,293,4.78,t,14,83,33,27,0.5,0.5,0.5,4.890349128221754
Ocean View,37.72239601526199,-122.45185151108709,Private room,2,0,0.0,f,30,365,20,88,0.5,0.5,0.5,4.30406509320417
Western Addition,37.7782,-122.44126,Entire home/apt,2,51,4.88,t,2,5,62,83,0.5,1.0,0.5,5.181783550292085
West of Twin Peaks,37.74277,-122.45686,Entire home/apt,2,78,4.91,t,1,306,39,79,0.0,0.5,0.5,5.087596335232384
Downtown/Civic Center,37.7862505,-122.4154684,Entire home/apt,2,0,0.0,t,0,243,46,85,0.5,0.5,0.5,5.030437921392435
Mission,37.77109,-122.42305,Entire home/apt,2,43,5.0,t,4,32,48,50,0.5,0.5,0.5,5.220355825078324
Downtown/Civic Center,37.7884146,-122.4215935,Private room,2,0,0.0,f,30,365,35,49,0.5,0.5,0.5,5.572154032177765
Bernal Heights,37.73281,-122.42668,Private room,1,28,4.96,f,0,255,31,5,1.0,2.0,1.0,4.31748811353631
South of Market,37.77373731536954,-122.41031983731818,Private room,2,135,4.27,f,20,317,46,53,0.5,2.0,0.5,4.836281906951478
Chinatown,37.7953623676022,-122.40557598540651,Private room,2,0,0.0,t,0,128,12,9,0.5,0.5,0.5,3.6888794541139363
Outer Sunset,37.76274442982475,-122.5056791166482,Entire home/apt,4,71,4.94,t,14,145,28,85,0.5,0.25,0.75,5.313205979041787
Downtown/Civic Center,37.78671244505496,-122.41169615211489,Private room,4,0,0.0,t,26,158,23,67,0.25,0.25,0.5,6.142037405587356
Western Addition,37.7719,-122.43092,Private room,2,0,0.0,f,0,243,42,68,0.5,1.0,0.5,4.6913478822291435
Ocean View,37.71228,-122.46666,Private room,2,117,4.5,t,23,358,30,85,0.5,0.5,0.5,4.442651256490317
Castro/Upper Market,37.76007843017578,-122.43843841552734,Entire home/apt,5,25,4.88,t,0,273,36,52,0.4,0.4,0.4,5.707110264748875
Western Addition,37.77312,-122.43689,Entire home/apt,2,156,4.92,f,5,130,49,82,0.5,0.5,0.5,5.605802066295998
Mission,37.76486,-122.42205,Entire home/apt,2,102,4.78,f,2,152,50,77,0.5,0.5,1.0,4.700480365792417
Chinatown,37.79143753425915,-122.40752680529803,Entire home/apt,4,2,4.5,t,5,5,25,83,0.25,0.25,0.5,5.713732805509369
Mission,37.76252,-122.42486,Entire home/apt,2,4,4.5,t,0,92,11,73,0.5,0.5,0.5,5.111987788356544
Financial District,37.78931,-122.4058,Private room,4,29,3.79,f,14,342,16,55,0.25,0.25,0.5,4.890349128221754
Downtown/Civic Center,37.7889904,-122.4127915,Private room,4,0,0.0,f,20,76,35,68,0.25,0.25,0.5,5.25227342804663
