neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,geo_cluster,log_price
Noe Valley,37.75635,-122.42864,Entire home/apt,8,38,4.92,f,0,221,64,0.5,0.25,0.625,13,6.912742820493176
Pacific Heights,37.79233,-122.42431,Private room,1,124,4.67,t,30,270,22,1.0,1.5,1.0,10,4.07753744390572
Diamond Heights,37.74633,-122.44591,Entire home/apt,4,107,4.6,t,10,254,46,0.5,0.375,0.75,21,5.247024072160486
Marina,37.79961,-122.42771,Entire home/apt,1,121,4.31,t,0,185,33,1.0,1.0,1.0,10,4.812184355372417
Twin Peaks,37.75045,-122.44956,Entire home/apt,2,99,4.19,t,2,329,35,0.5,0.5,0.5,21,4.382026634673881
Mission,37.75981,-122.4188,Entire home/apt,4,135,4.74,t,12,282,29,0.5,0.25,0.5,9,5.0369526024136295
Financial District,37.79203,-122.40284,Entire home/apt,2,33,4.5,t,6,216,32,0.0,0.5,0.5,4,4.442651256490317
Chinatown,37.79175,-122.4045,Entire home/apt,2,58,4.75,t,0,171,30,0.0,0.5,0.5,4,4.59511985013459
Glen Park,37.73604,-122.43777,Entire home/apt,4,371,4.89,t,4,299,40,0.5,0.25,0.5,5,5.564520407322694
Noe Valley,37.75117,-122.42567,Private room,1,63,4.93,f,2,337,7,1.0,0.5,1.0,13,4.605170185988092
Downtown/Civic Center,37.78897,-122.41245,Entire home/apt,2,79,4.77,f,29,364,23,0.5,0.5,0.5,4,5.529429087511423
Russian Hill,37.80121,-122.41339,Entire home/apt,2,684,4.82,f,5,226,47,0.5,0.5,0.5,18,5.017279836814924
Haight Ashbury,37.77255,-122.44985,Private room,2,680,4.72,t,24,357,24,0.5,1.0,0.5,24,4.5217885770490405
Haight Ashbury,37.77085,-122.44814,Private room,4,664,4.63,t,22,352,22,0.25,0.5,0.5,24,4.584967478670572
Haight Ashbury,37.77175,-122.45012,Private room,2,754,4.55,t,12,339,19,0.5,1.0,0.5,24,4.543294782270004
Excelsior,37.72525,-122.43013,Private room,1,138,4.74,f,0,51,39,2.0,2.0,1.0,12,3.9512437185814275
Haight Ashbury,37.77031,-122.44948,Private room,2,625,4.53,t,20,348,24,0.5,1.0,0.5,24,4.356708826689592
Nob Hill,37.79278,-122.41007,Entire home/apt,8,77,4.4,f,5,129,19,0.5,0.5,0.5,4,6.892641641172089
Inner Richmond,37.77608489990234,-122.4555206298828,Private room,1,517,4.88,t,13,323,24,1.0,1.0,1.0,24,4.51085950651685
Haight Ashbury,37.76761,-122.45139,Entire home/apt,2,180,4.79,f,0,90,58,0.5,0.5,0.5,21,5.521460917862246
Outer Sunset,37.7517,-122.5051,Private room,2,222,4.86,t,5,104,34,0.5,0.5,0.5,17,4.382026634673881
Financial District,37.79739,-122.4052,Entire home/apt,4,114,4.44,f,9,344,48,0.25,0.25,0.5,4,4.8283137373023015
Pacific Heights,37.78946,-122.43538,Entire home/apt,6,83,4.9,t,29,346,18,0.5,0.4166666666666667,0.6666666666666666,3,6.802394763324311
North Beach,37.80333,-122.40962,Entire home/apt,5,112,4.94,t,28,166,33,0.4,0.2,0.4,18,6.371611847231857
Western Addition,37.78457,-122.43177,Entire home/apt,2,32,4.7,f,0,335,23,0.5,0.5,0.5,10,5.062595033026967
Haight Ashbury,37.76699,-122.44643,Entire home/apt,6,122,4.73,f,2,301,30,0.5,0.16666666666666666,0.5,21,5.1647859739235145
Western Addition,37.78599,-122.43232,Private room,1,3,5.0,f,0,335,34,1.0,1.0,1.0,10,4.564348191467836
Haight Ashbury,37.77347,-122.44364,Private room,4,484,4.84,t,12,320,55,0.0,0.25,0.5,24,5.0689042022202315
