neighbourhood,latitude,longitude,room_type,accommodates,number_of_reviews,review_scores_rating,host_is_superhost,availability_30,availability_365,amenity_count,bedrooms_per_guest,bathrooms_per_guest,beds_per_guest,geo_cluster,log_price
West of Twin Peaks,37.72942,-122.46691,Entire home/apt,3,183,4.72,f,17,352,24,0.3333333333333333,0.3333333333333333,0.6666666666666666,19,4.574710978503383
Presidio Heights,37.7876,-122.44745,Entire home/apt,2,91,4.95,t,3,231,51,0.5,0.5,0.5,24,5.44673737166631
Inner Richmond,37.78563,-122.47115,Entire home/apt,6,9,4.89,t,0,243,25,0.5,0.5,0.6666666666666666,15,5.680172609017068
Marina,37.800899505615234,-122.44134521484376,Private room,1,129,4.97,t,6,37,70,1.0,1.0,1.0,3,5.497168225293202
Castro/Upper Market,37.76083,-122.43884,Private room,4,13,5.0,t,29,179,47,0.5,0.25,0.5,21,5.817111159963204
Marina,37.80555,-122.43555,Entire home/apt,4,41,4.9,t,9,300,37,0.5,0.25,0.5,3,5.4510384535657
Russian Hill,37.80244,-122.42402,Entire home/apt,2,591,4.77,t,22,344,44,0.5,0.5,1.0,18,5.14166355650266
Downtown/Civic Center,37.78659,-122.41119,Entire home/apt,4,13,4.92,f,30,356,13,0.0,0.25,0.5,4,5.641907070938114
Bayview,37.72013,-122.39822,Entire home/apt,5,135,4.68,f,9,222,56,0.2,0.2,0.6,14,4.477336814478207
Inner Richmond,37.78441,-122.47231,Entire home/apt,2,127,4.75,f,27,319,28,0.5,1.0,0.5,15,5.429345628954441
Russian Hill,37.7995,-122.42172,Entire home/apt,6,13,4.54,f,0,147,54,0.5,0.3333333333333333,0.5,18,5.703782474656201
Western Addition,37.77395,-122.43641,Entire home/apt,4,185,4.86,t,0,235,37,0.0,0.25,0.5,6,4.90527477843843
Bernal Heights,37.74213,-122.41788,Entire home/apt,4,103,4.89,t,22,29,27,0.5,0.25,0.5,2,5.616771097666572
Twin Peaks,37.75811,-122.444389,Entire home/apt,4,77,4.92,t,2,247,77,0.5,0.5,0.5,21,5.849324779946859
North Beach,37.80226,-122.40818,Entire home/apt,4,191,4.96,t,11,12,52,0.5,0.25,0.5,18,5.988961416889864
West of Twin Peaks,37.74098,-122.46327,Entire home/apt,2,420,4.85,t,1,41,24,0.5,0.5,0.5,19,4.90527477843843
Downtown/Civic Center,37.78879,-122.41111,Entire home/apt,4,15,4.87,f,30,357,21,0.0,0.25,0.5,4,5.726847747587197
North Beach,37.80197,-122.40968,Entire home/apt,4,155,4.99,f,1,54,65,0.5,0.375,0.5,18,6.38856140554563
Bernal Heights,37.74473,-122.41788,Entire home/apt,4,73,4.74,f,8,89,37,0.5,0.25,0.5,20,5.075173815233827
Noe Valley,37.75232,-122.43193,Entire home/apt,4,66,4.8,t,0,332,70,0.5,0.375,0.75,13,5.198497031265826
Marina,37.79743,-122.4303,Entire home/apt,2,109,4.92,f,0,333,46,0.5,0.5,0.5,3,4.762173934797756
Mission,37.75803,-122.42347,Entire home/apt,6,22,4.82,f,30,365,44,0.5,0.3333333333333333,0.5,9,6.263398262591624
North Beach,37.7986,-122.40598,Entire home/apt,4,78,4.88,f,7,323,29,0.5,0.25,0.75,18,5.135798437050262
Western Addition,37.78562,-122.44413,Entire home/apt,16,64,4.98,f,2,167,44,0.375,0.28125,0.5,24,7.4360278163518485
Excelsior,37.72411,-122.40801,Entire home/apt,10,232,4.88,t,8,107,45,0.4,0.3,0.6,14,5.872117789475416
Haight Ashbury,37.77206,-122.44957,Entire home/apt,4,53,4.92,t,3,114,37,0.25,0.25,0.25,24,5.111987788356544
Haight Ashbury,37.77392,-122.43847,Entire home/apt,4,8,5.0,f,0,212,46,0.5,0.25,0.5,6,4.990432586778736
Downtown/Civic Center,37.78822,-122.40939,Entire home/apt,4,23,5.0,f,30,357,21,0.0,0.25,0.5,4,5.7430031878094825
Bernal Heights,37.73964,-122.41522,Entire home/apt,1,125,4.74,t,29,186,50,1.0,1.0,2.0,2,4.718498871295094
Bayview,37.7359,-122.38547,Private room,2,181,4.83,t,6,321,28,0.5,0.5,0.5,14,4.553876891600541
Noe Valley,37.75383,-122.4389,Entire home/apt,2,385,4.86,f,10,70,27,0.5,0.5,0.5,21,5.181783550292085
Outer Mission,37.7302,-122.44568,Private room,2,307,4.91,t,12,245,70,0.5,0.5,0.5,5,4.919980925828125
Castro/Upper Market,37.76342,-122.4327,Private room,2,448,4.84,t,6,304,28,0.5,0.5,0.5,6,4.74493212836325
Western Addition,37.77773,-122.43893,Entire home/apt,1,62,4.69,t,0,272,21,1.0,1.0,2.0,6,4.406719247264253
West of Twin Peaks,37.74396,-122.46338,Entire home/apt,2,511,4.95,t,5,296,18,0.0,0.5,0.5,19,4.68213122712422
Noe Valley,37.75017,-122.44158,Private room,5,48,5.0,t,0,54,49,0.2,0.4,0.2,21,5.298317366548036
West of Twin Peaks,37.7299,-122.46185,Entire home/apt,3,114,4.89,t,17,162,28,0.3333333333333333,0.3333333333333333,0.6666666666666666,19,4.9344739331306915
Outer Mission,37.72151,-122.43897,Entire home/apt,4,272,4.87,t,0,162,64,0.25,0.25,0.25,12,4.61512051684126
Bernal Heights,37.74094,-122.40896,Private room,2,52,4.88,t,14,290,34,0.5,0.5,0.5,20,4.68213122712422
South of Market,37.7772,-122.39514,Entire home/apt,4,10,5.0,t,0,274,27,0.5,0.5,0.5,1,5.926926025970411
Noe Valley,37.75305,-122.42841,Entire home/apt,3,41,4.88,t,0,288,35,0.3333333333333333,0.3333333333333333,0.3333333333333333,13,5.247024072160486
Inner Richmond,37.77676,-122.46874,Entire home/apt,2,417,4.98,t,4,201,67,0.5,0.5,0.5,15,5.198497031265826
Russian Hill,37.79932,-122.41973,Entire home/apt,4,5,4.6,f,29,364,8,0.5,0.25,0.5,18,6.309918278226516
Castro/Upper Market,37.7566,-122.42638,Private room,2,109,4.72,t,5,60,22,0.5,0.5,0.5,13,4.859812404361672
Downtown/Civic Center,37.78662,-122.40961,Entire home/apt,8,18,5.0,f,30,357,8,0.0,0.25,0.5,4,6.638567789166521
Pacific Heights,37.78926,-122.44647,Entire home/apt,10,118,4.98,t,7,248,46,0.6,0.4,0.7,24,6.927557906278317
Noe Valley,37.75156,-122.43776,Entire home/apt,2,92,4.64,f,30,270,34,1.0,0.5,0.5,13,5.14166355650266
Mission,37.7535,-122.42215,Entire home/apt,3,85,4.4,t,0,71,23,0.0,0.3333333333333333,0.3333333333333333,13,4.6443908991413725
Castro/Upper Market,37.7624,-122.42661,Entire home/apt,2,508,4.81,t,8,146,32,0.5,0.5,0.5,9,5.19295685089021
Nob Hill,37.79568,-122.41076,Entire home/apt,3,13,4.62,f,7,312,37,0.3333333333333333,0.3333333333333333,0.6666666666666666,4,4.976733742420574
Noe Valley,37.74768829345703,-122.42521667480467,Private room,2,433,4.96,t,3,227,49,0.5,0.5,0.5,13,4.442651256490317
Pacific Heights,37.78862,-122.44149,Private room,2,86,5.0,t,8,257,39,0.5,0.5,0.5,3,5.030437921392435
Western Addition,37.78414,-122.44446,Entire home/apt,4,51,4.45,f,0,123,32,0.5,0.25,2.0,24,5.749392985908253
Western Addition,37.77133,-122.43612,Private room,2,861,4.93,t,0,224,41,0.5,0.5,0.5,6,4.59511985013459
West of Twin Peaks,37.74331,-122.4561,Entire home/apt,6,1,5.0,f,29,364,16,0.6666666666666666,0.3333333333333333,0.6666666666666666,19,6.543911845564792
Bernal Heights,37.74617,-122.41591,Entire home/apt,9,201,4.96,t,8,229,71,0.2222222222222222,0.2222222222222222,0.4444444444444444,20,5.5254529391317835
Mission,37.76155,-122.42421,Entire home/apt,2,477,4.97,t,3,23,30,0.5,0.5,0.5,9,4.927253685157205
Mission,37.75794,-122.41911,Private room,1,99,4.98,t,1,183,55,1.0,1.0,1.0,9,4.852030263919617
Pacific Heights,37.78855,-122.44154,Private room,4,132,4.97,t,6,241,40,0.5,0.25,0.5,3,5.480638923341991
Outer Mission,37.72763,-122.43975,Entire home/apt,5,18,4.94,f,16,314,15,0.6,0.4,0.6,5,6.12029741895095
Russian Hill,37.80213,-122.41516,Entire home/apt,2,0,0.0,f,23,83,14,0.5,0.5,0.5,18,5.10594547390058
South of Market,37.77957,-122.39116,Entire home/apt,2,9,4.22,f,0,335,34,0.5,0.5,0.5,1,4.8283137373023015
Nob Hill,37.79603,-122.41259,Entire home/apt,4,8,4.75,f,0,296,17,0.5,0.25,0.5,18,5.1647859739235145
Inner Richmond,37.78246,-122.47408,Private room,2,4,3.5,f,0,327,18,0.5,0.5,0.5,15,4.382026634673881
Lakeshore,37.73352,-122.48224,Private room,4,216,4.84,t,18,246,36,0.25,0.25,0.25,22,4.564348191467836
Noe Valley,37.75227,-122.42525,Private room,1,28,4.96,f,18,302,41,1.0,1.0,1.0,13,4.836281906951478
Western Addition,37.77251,-122.43454,Entire home/apt,7,264,4.98,t,6,270,51,0.5714285714285714,0.2857142857142857,0.5714285714285714,6,6.102558594613569
Chinatown,37.79581,-122.40842,Entire home/apt,4,194,4.75,t,0,226,60,0.5,0.375,0.5,4,5.991464547107982
Outer Sunset,37.76285,-122.49951,Entire home/apt,2,48,5.0,t,5,129,37,0.5,0.5,0.5,17,5.0106352940962555
Western Addition,37.78199,-122.42991,Private room,2,144,4.96,f,4,4,55,0.5,0.5,0.5,6,4.955827057601261
Western Addition,37.77194,-122.43583,Private room,2,481,4.81,f,15,164,44,0.5,0.5,0.5,6,4.897839799950911
Parkside,37.74793,-122.47477,Entire home/apt,10,442,4.82,t,12,204,41,0.3,0.2,0.5,22,5.860786223465865
Downtown/Civic Center,37.78622,-122.41626,Private room,2,84,4.46,t,13,264,15,0.5,0.25,0.5,4,4.553876891600541
Excelsior,37.72013,-122.43096,Entire home/apt,5,83,4.95,t,0,243,33,0.2,0.2,0.6,12,4.605170185988092
Mission,37.74971,-122.4155,Entire home/apt,10,140,4.89,t,5,21,39,0.4,0.4,0.5,20,6.354370040797351
Inner Sunset,37.76131,-122.45204,Entire home/apt,6,12,5.0,f,26,251,23,0.5,0.3333333333333333,0.6666666666666666,21,6.4457198193855785
Russian Hill,37.79752,-122.42233,Entire home/apt,5,91,4.81,f,0,108,65,0.6,0.2,0.6,10,5.521460917862246
Potrero Hill,37.7639,-122.39472,Entire home/apt,4,182,4.68,t,1,268,53,0.25,0.25,0.5,7,4.48863636973214
Presidio Heights,37.78684,-122.45856,Entire home/apt,2,76,4.61,t,0,82,26,0.0,0.5,0.5,24,4.68213122712422
Noe Valley,37.75154,-122.42581,Entire home/apt,6,34,4.85,f,30,365,39,0.5,0.16666666666666666,0.6666666666666666,13,5.62040086571715
Castro/Upper Market,37.76088,-122.43916,Entire home/apt,8,110,4.94,t,29,179,53,0.375,0.25,0.75,21,7.227662498728654
Noe Valley,37.75138,-122.4413,Entire home/apt,2,49,4.76,t,0,228,55,0.5,0.5,0.5,21,4.976733742420574
Haight Ashbury,37.76836,-122.44699,Entire home/apt,3,79,5.0,t,0,243,61,0.6666666666666666,0.6666666666666666,0.6666666666666666,21,6.354370040797351
Downtown/Civic Center,37.78923,-122.40765,Private room,2,151,4.94,t,4,51,19,0.5,0.5,0.5,4,4.499809670330265
Nob Hill,37.79083,-122.41496,Entire home/apt,2,26,4.88,f,0,275,29,0.0,0.5,0.5,4,4.61512051684126
Mission,37.75011,-122.41426,Entire home/apt,2,6,5.0,f,0,44,29,1.0,0.5,0.5,20,4.700480365792417
Downtown/Civic Center,37.78964,-122.40968,Private room,2,155,4.83,t,4,64,17,0.5,0.5,1.0,4,4.499809670330265
South of Market,37.78402,-122.39853,Entire home/apt,4,21,5.0,f,0,296,41,0.5,0.5,0.5,1,5.762051382780177
Castro/Upper Market,37.76223,-122.42918,Entire home/apt,2,93,4.69,f,0,150,42,1.0,0.5,0.5,9,4.174387269895637
Marina,37.80011191169009,-122.44450995190851,Entire home/apt,5,21,4.76,f,13,331,45,0.4,0.2,0.6,3,5.41610040220442
Inner Richmond,37.78639,-122.47383,Entire home/apt,4,70,5.0,f,0,41,29,0.5,0.5,0.5,15,5.886104031450156
Mission,37.75119,-122.41427,Entire home/apt,2,260,4.98,t,0,21,53,0.5,0.5,0.5,20,5.220355825078324
Downtown/Civic Center,37.7892,-122.40955,Private room,2,12,5.0,t,19,324,15,0.5,1.0,0.5,4,5.14166355650266
Downtown/Civic Center,37.78773,-122.40768,Private room,2,7,4.71,t,29,127,17,0.5,1.0,0.5,4,5.313205979041787
Glen Park,37.73854,-122.42541,Entire home/apt,2,36,4.92,f,3,33,42,0.5,0.5,0.5,2,4.736198448394496
Russian Hill,37.8045,-122.42398,Entire home/apt,8,24,5.0,f,23,77,30,0.375,0.375,0.5,18,7.24422751560335
Western Addition,37.77257,-122.42509,Private room,2,285,4.91,t,8,254,42,0.5,0.5,1.0,6,4.8283137373023015
Russian Hill,37.80562,-122.41879,Entire home/apt,4,17,5.0,t,0,300,18,0.25,0.25,0.5,18,4.90527477843843
Haight Ashbury,37.77229,-122.44747,Entire home/apt,2,639,4.97,t,3,297,48,0.0,0.5,0.5,24,4.962844630259907
Noe Valley,37.74994,-122.44068,Entire home/apt,2,23,5.0,t,0,114,33,0.5,0.5,0.5,21,4.8283137373023015
Mission,37.76934,-122.42228,Entire home/apt,2,4,4.75,f,30,365,13,0.0,0.5,1.0,9,5.262690188904886
Potrero Hill,37.75975,-122.39576,Private room,2,193,4.91,t,1,326,32,0.5,0.5,0.5,7,4.7535901911063645
Downtown/Civic Center,37.78863,-122.41129,Entire home/apt,4,11,4.73,f,30,357,14,0.25,0.25,0.5,4,5.700443573390687
Bernal Heights,37.74069,-122.41052,Private room,1,14,5.0,f,17,291,43,1.0,1.0,1.0,2,4.499809670330265
Potrero Hill,37.75986,-122.40023,Entire home/apt,4,56,4.93,t,0,264,46,0.5,0.25,0.5,7,4.941642422609304
Downtown/Civic Center,37.7868,-122.41143,Entire home/apt,4,73,4.97,t,0,6,14,0.0,0.25,0.5,4,5.247024072160486
Bernal Heights,37.74062,-122.41069,Entire home/apt,5,189,4.93,t,0,293,67,0.6,0.2,0.6,2,6.118097198041348
Visitacion Valley,37.71799,-122.40414,Private room,6,120,4.96,t,21,111,78,0.5,0.3333333333333333,0.5,14,5.783825182329737
Bernal Heights,37.74282,-122.42033,Private room,2,185,4.89,t,18,18,45,0.5,0.5,0.5,2,4.477336814478207
Outer Sunset,37.76115,-122.49138,Entire home/apt,4,92,4.95,f,11,11,26,0.5,0.5,0.5,17,5.799092654460526
Bernal Heights,37.74049,-122.41637,Entire home/apt,4,30,4.7,t,9,221,37,0.25,0.25,0.5,2,4.700480365792417
Nob Hill,37.79635,-122.41354,Entire home/apt,3,156,4.81,t,23,34,29,0.3333333333333333,0.3333333333333333,0.3333333333333333,18,5.1298987149230735
Outer Mission,37.72702,-122.44316,Private room,2,132,4.95,t,5,34,50,0.0,0.5,1.0,5,4.727387818712341
Nob Hill,37.79617,-122.41428,Entire home/apt,2,88,4.89,t,0,61,27,0.5,0.5,0.5,18,5.135798437050262
Outer Richmond,37.77964,-122.48,Entire home/apt,8,142,4.46,f,30,365,36,0.375,0.125,0.25,15,5.480638923341991
Russian Hill,37.80462,-122.42198,Entire home/apt,6,20,4.9,f,29,364,46,0.3333333333333333,0.3333333333333333,0.3333333333333333,18,7.024649030453636
Western Addition,37.77327,-122.42565,Entire home/apt,6,72,4.79,t,0,166,70,0.5,0.16666666666666666,0.8333333333333334,6,5.541263545158426
Presidio Heights,37.78301,-122.45865,Entire home/apt,10,76,4.99,t,0,19,77,0.5,0.45,0.6,24,6.52649485957079
Pacific Heights,37.79039,-122.44014,Private room,2,73,4.95,f,10,133,51,0.5,0.5,0.5,3,5.455321115357702
Haight Ashbury,37.77291,-122.45231,Entire home/apt,6,54,4.96,t,0,71,77,0.3333333333333333,0.16666666666666666,0.6666666666666666,24,6.0063531596017325
Western Addition,37.77344,-122.42465,Private room,2,259,4.81,t,7,117,49,0.5,0.5,1.0,6,4.553876891600541
South of Market,37.77638,-122.40455,Entire home/apt,6,42,4.81,f,30,180,23,0.3333333333333333,0.3333333333333333,1.5,1,5.799092654460526
Marina,37.79683,-122.43497,Entire home/apt,4,4,4.5,f,0,335,17,0.5,0.5,0.5,3,5.966146739123692
Noe Valley,37.74547,-122.42524,Entire home/apt,2,22,4.91,t,0,274,51,0.5,0.5,0.5,13,4.990432586778736
Inner Richmond,37.78262,-122.46797,Entire home/apt,5,364,4.71,f,14,311,43,0.2,0.2,0.4,15,5.14166355650266
Bayview,37.71878,-122.39119,Entire home/apt,2,128,4.84,f,0,0,22,0.5,0.5,0.5,14,4.30406509320417
Visitacion Valley,37.71519195416774,-122.40320068786676,Entire home/apt,6,50,4.86,t,22,81,52,0.3333333333333333,0.16666666666666666,0.6666666666666666,14,5.049856007249537
Inner Sunset,37.76271,-122.45419,Entire home/apt,2,150,4.89,t,0,209,29,0.5,0.5,0.5,21,4.700480365792417
Noe Valley,37.7481438,-122.4358852,Entire home/apt,4,5,5.0,f,12,130,51,0.5,0.25,0.75,13,6.1463292576688975
Potrero Hill,37.75534,-122.4013,Entire home/apt,2,74,4.84,f,28,88,19,0.5,0.5,0.5,7,4.90527477843843
Bernal Heights,37.73339,-122.42694,Private room,1,26,5.0,f,11,286,32,1.0,2.0,1.0,2,3.713572066704308
Ocean View,37.71976,-122.45037,Entire home/apt,4,82,5.0,f,0,155,40,1.0,0.375,1.0,12,5.147494476813453
North Beach,37.8025,-122.40647,Entire home/apt,2,82,4.94,f,12,191,60,0.0,0.5,0.5,18,5.793013608384144
Haight Ashbury,37.76529,-122.44437,Entire home/apt,2,659,4.99,t,3,91,42,0.5,0.5,0.5,21,5.043425116919247
Pacific Heights,37.795406341552734,-122.4371566772461,Entire home/apt,4,9,5.0,t,0,320,22,0.5,0.5,0.5,3,6.163314804034641
Potrero Hill,37.7512,-122.40018,Private room,1,275,4.91,t,16,35,38,1.0,1.0,1.0,7,4.394449154672439
Nob Hill,37.79013,-122.4208,Private room,2,9,4.78,f,4,335,7,0.5,0.5,0.5,10,4.477336814478207
Nob Hill,37.79043,-122.41993,Private room,2,24,4.71,f,15,350,17,0.5,0.5,0.0,10,4.477336814478207
Nob Hill,37.792,-122.4193,Private room,2,28,4.54,f,0,335,9,0.5,0.5,0.5,10,4.343805421853684
Nob Hill,37.79249,-122.42137,Private room,2,21,4.81,f,0,269,9,0.5,0.5,0.5,10,4.787491742782046
Pacific Heights,37.79558,-122.43688,Entire home/apt,2,2,5.0,f,0,302,19,0.5,0.5,0.5,3,4.990432586778736
Presidio Heights,37.78718,-122.44982,Entire home/apt,2,0,0.0,f,0,182,22,0.5,0.5,0.5,24,5.278114659230517
Potrero Hill,37.7596,-122.39619,Private room,2,175,4.9,t,0,305,32,0.5,0.5,0.5,7,4.7535901911063645
Chinatown,37.79102,-122.40698,Entire home/apt,3,5,4.6,f,0,94,29,0.6666666666666666,0.3333333333333333,0.6666666666666666,4,5.003946305945459
Chinatown,37.79102,-122.40698,Entire home/apt,2,2,4.0,f,0,57,30,3.5,0.5,0.5,4,4.836281906951478
Mission,37.76493,-122.40559,Entire home/apt,2,381,4.82,f,7,221,34,0.5,0.5,0.5,7,5.099866427824199
Mission,37.76302,-122.41999,Entire home/apt,2,21,4.52,f,4,262,25,0.5,0.5,0.5,9,4.787491742782046
Mission,37.75837,-122.41092,Entire home/apt,4,16,3.81,f,1,217,25,0.5,0.5,0.75,20,4.736198448394496
Bernal Heights,37.74139,-122.41576,Entire home/apt,2,59,4.97,f,0,58,43,0.0,0.5,0.5,2,4.983606621708336
Noe Valley,37.74332,-122.42707,Entire home/apt,4,251,4.73,t,4,185,30,0.5,0.25,0.5,13,5.003946305945459
Western Addition,37.78320919638888,-122.44331089637916,Private room,1,40,5.0,t,0,89,39,1.0,1.0,1.0,24,4.727387818712341
Bernal Heights,37.73937,-122.4182,Entire home/apt,2,21,4.86,t,0,208,38,0.5,0.5,0.5,2,4.68213122712422
Castro/Upper Market,37.76023,-122.43581,Entire home/apt,2,37,5.0,t,0,234,51,0.5,0.5,0.5,21,4.941642422609304
Russian Hill,37.80061,-122.41355,Private room,1,124,4.82,f,0,300,26,1.0,1.5,1.0,18,4.060443010546419
Inner Richmond,37.77725,-122.47228,Entire home/apt,5,1,5.0,f,0,49,18,0.6,0.3,0.6,15,5.075173815233827
Outer Sunset,37.75693,-122.50463,Entire home/apt,10,20,5.0,f,6,93,51,0.5,0.35,0.5,17,7.181591944611865
Western Addition,37.77674,-122.43057,Entire home/apt,5,10,4.9,f,8,124,58,0.6,0.2,0.6,6,6.519147287940395
Haight Ashbury,37.77024,-122.44839,Entire home/apt,10,12,4.92,t,0,15,52,0.5,0.3,0.4,24,6.900730664045173
Chinatown,37.79102,-122.40698,Entire home/apt,2,4,5.0,f,0,150,32,0.5,0.5,0.5,4,4.812184355372417
Noe Valley,37.75251,-122.43317,Entire home/apt,2,50,4.86,t,0,228,33,0.5,0.5,0.5,13,4.836281906951478
Bernal Heights,37.74448,-122.41699,Entire home/apt,4,399,4.89,t,13,25,51,0.5,0.25,0.5,20,5.356586274672012
Bernal Heights,37.73835,-122.41134,Private room,2,459,4.83,t,8,144,28,0.5,0.5,1.0,2,4.174387269895637
Noe Valley,37.75223,-122.44055,Private room,1,18,4.72,f,6,328,51,1.0,1.0,1.0,21,4.51085950651685
Excelsior,37.72757,-122.41896,Entire home/apt,5,128,4.29,t,0,324,72,0.4,0.2,0.4,2,4.836281906951478
Noe Valley,37.75207,-122.4302,Entire home/apt,2,9,4.11,f,30,365,10,0.5,0.5,0.5,13,4.969813299576001
Mission,37.75903,-122.41457,Entire home/apt,5,121,4.88,t,30,365,24,1.0,0.3,1.0,20,6.60934924316738
Financial District,37.7978,-122.40407,Shared room,2,125,4.71,t,20,320,27,0.5,5.0,2.0,18,4.07753744390572
Pacific Heights,37.79095,-122.44489,Entire home/apt,2,138,4.63,t,0,333,29,0.5,0.5,0.5,3,4.787491742782046
Western Addition,37.78024,-122.43324,Private room,4,0,0.0,f,12,303,35,0.25,0.25,0.5,6,6.093569770045136
Western Addition,37.7803,-122.43326,Private room,2,0,0.0,f,6,289,14,0.5,0.5,0.5,6,5.886104031450156
Inner Richmond,37.77734,-122.47364,Private room,2,1,5.0,f,29,89,10,0.5,0.75,0.5,15,4.3694478524670215
Nob Hill,37.7919,-122.41946,Private room,2,12,4.75,f,11,346,6,0.5,0.5,0.5,10,4.189654742026425
Excelsior,37.72578,-122.42008,Entire home/apt,7,61,4.28,t,0,324,61,0.42857142857142855,0.2857142857142857,0.42857142857142855,2,5.153291594497779
Castro/Upper Market,37.76237,-122.42872,Entire home/apt,2,36,4.75,t,0,262,32,0.5,0.5,0.5,9,5.1647859739235145
Marina,37.80538,-122.44159,Entire home/apt,8,160,4.98,t,9,250,47,0.875,0.5,0.875,3,7.240649694255466
Marina,37.79811,-122.44181,Entire home/apt,4,24,4.67,f,0,0,34,0.5,0.375,0.75,3,6.473890696352274
Mission,37.75964,-122.41728,Entire home/apt,4,3,5.0,f,24,304,33,0.75,0.5,1.0,9,5.730099782973574
Bernal Heights,37.73782,-122.41694,Entire home/apt,2,523,4.97,t,10,10,23,0.5,0.5,0.5,2,4.442651256490317
Mission,37.75404,-122.42388,Entire home/apt,2,8,4.38,f,0,238,21,0.0,0.5,0.5,13,4.787491742782046
Russian Hill,37.80418,-122.42042,Entire home/apt,4,17,5.0,t,0,276,20,0.25,0.25,0.5,18,4.90527477843843
Downtown/Civic Center,37.78694,-122.40967,Entire home/apt,4,18,4.89,f,30,357,22,0.0,0.25,0.5,4,5.673323267171493
Mission,37.7563,-122.41114,Entire home/apt,6,9,4.89,f,0,335,22,0.5,0.16666666666666666,0.6666666666666666,20,5.1647859739235145
Potrero Hill,37.76095,-122.40534,Private room,2,521,4.93,t,4,20,51,0.5,0.5,0.5,7,4.634728988229636
Potrero Hill,37.76283,-122.40393,Private room,2,524,4.93,t,13,34,53,0.5,0.5,0.5,7,4.543294782270004
Marina,37.7975,-122.42544,Private room,2,250,4.6,f,30,265,30,0.5,0.5,0.5,10,4.787491742782046
Mission,37.75413,-122.4231,Entire home/apt,3,5,4.4,f,0,198,21,0.3333333333333333,0.3333333333333333,0.6666666666666666,13,4.605170185988092
Russian Hill,37.80614,-122.41996,Entire home/apt,5,5,4.6,t,0,244,20,0.2,0.2,0.4,18,5.736572297479192
Castro/Upper Market,37.76523,-122.42976,Entire home/apt,2,13,5.0,f,1,137,30,0.5,0.5,0.5,9,5.087596335232384
Inner Richmond,37.77614,-122.47758,Entire home/apt,5,46,4.98,f,0,38,30,0.6,0.3,0.8,15,6.1092475827643655
Pacific Heights,37.7971,-122.42438,Private room,4,287,4.59,f,0,237,20,0.25,0.25,0.5,10,5.0106352940962555
Marina,37.79909,-122.42424,Private room,4,264,4.62,f,0,237,20,0.25,0.25,0.5,10,5.003946305945459
Downtown/Civic Center,37.78784,-122.41036,Private room,4,80,4.9,t,27,54,27,0.0,0.25,0.5,4,5.488937726156687
Russian Hill,37.79934,-122.42407,Private room,4,152,4.51,f,0,237,21,0.25,0.25,0.5,10,5.003946305945459
Downtown/Civic Center,37.78784,-122.41036,Private room,4,105,4.88,t,24,51,27,0.0,0.25,0.5,4,5.488937726156687
Mission,37.77061,-122.42416,Entire home/apt,2,101,4.98,t,4,4,54,0.5,0.5,0.5,9,5.293304824724492
Excelsior,37.72492,-122.40852,Entire home/apt,3,342,4.98,t,3,122,30,0.3333333333333333,0.3333333333333333,0.3333333333333333,14,4.867534450455582
Inner Richmond,37.78158,-122.47609,Private room,2,13,4.69,f,0,330,7,0.5,0.5,0.5,15,4.382026634673881
Inner Richmond,37.78389,-122.47446,Private room,2,2,4.5,f,0,148,14,0.5,0.5,0.5,15,4.382026634673881
Castro/Upper Market,37.76425,-122.44025,Entire home/apt,3,43,4.98,t,0,121,62,0.3333333333333333,0.3333333333333333,0.6666666666666666,21,4.700480365792417
Castro/Upper Market,37.76159,-122.44218,Entire home/apt,2,13,4.92,f,24,359,59,0.5,0.5,0.5,21,6.543911845564792
Pacific Heights,37.79225,-122.4338,Entire home/apt,2,27,4.85,t,8,119,28,0.0,0.5,0.5,3,5.0106352940962555
Western Addition,37.7782,-122.44126,Entire home/apt,2,51,4.88,t,2,5,62,0.5,1.0,0.5,24,5.181783550292085
Western Addition,37.77731,-122.44329,Entire home/apt,9,60,5.0,t,0,308,48,0.5555555555555556,0.2222222222222222,0.5555555555555556,24,7.408530566894626
Western Addition,37.78565,-122.42323,Entire home/apt,4,12,4.42,t,4,339,21,0.25,0.25,0.5,10,4.955827057601261
Bayview,37.71557,-122.38789,Private room,2,225,4.74,f,16,27,43,0.5,0.5,0.5,14,4.700480365792417
Bayview,37.71647,-122.38993,Private room,2,62,4.81,f,12,12,57,0.5,0.5,0.5,14,4.465908118654584
Bayview,37.73552,-122.40474,Entire home/apt,2,412,4.81,t,3,44,27,0.5,0.5,0.5,14,5.231108616854587
Pacific Heights,37.78981,-122.44104,Entire home/apt,2,70,4.8,f,0,140,34,0.5,0.5,0.5,3,6.401917196727186
Visitacion Valley,37.71907,-122.40276,Private room,2,952,4.93,t,16,16,53,1.0,0.5,0.5,14,4.962844630259907
Downtown/Civic Center,37.7888,-122.40926,Entire home/apt,4,17,4.88,f,30,357,21,0.0,0.25,0.5,4,5.771441123130016
Inner Richmond,37.77559,-122.46291,Private room,1,88,4.63,t,18,110,16,1.0,1.0,1.0,15,4.189654742026425
Mission,37.75624,-122.411,Entire home/apt,1,17,4.59,f,0,193,38,0.0,1.0,1.0,20,4.007333185232471
Nob Hill,37.79107,-122.41131,Entire home/apt,2,30,4.97,t,4,308,28,0.5,0.5,0.5,4,4.8283137373023015
